Modern	Original	Frequency in original
acipreste	acipreste	1
pulverizar	polvorizar	1
escaravelhos	escaravelhos	1
consta	consta	1
sumos	sumos	1
cobra	cobra	1
tomados	tomados	1
madre	madre	2
almorreimas	almorreimas	1
inchadas	inchadas	1
dolorosas	dolorosas	1
achara	achara	1
seguro	seguro	2
congorsa	congorça	1
marcavala	marcavala	1
lxxxviii	lxxxviii	1
terçã	terçãa	4
terçã	terçã	2
baldados	baldados	1
aproveitou	aproveitou	1
quinaquina	quinaquina	17
curado	curado	2
terçãs	terçans	1
terçãs	terçãs	2
continuas	continuas	1
entrarem	entrarem	1
sentença	sentença	1
cícero	cicero	1
nascem	nascem	1
pátria	patria	1
parentes	parentes	1
amigos	amigos	1
pareceu	pareceo	2
justo	justo	1
escrever	escrever	2
vindouros	vindouros	1
cousas	cousas	1
amadores	amadores	1
ouçam	ouçaõ	1
sucessos	successos	1
passaram	passaraõ	2
espero	espero	2
sabê-los	sabellos	1
junho	junho	2
1695.	1695	1
chamaram	chamaraõ	3
barbuda	barbuda	1
rua	rua	1
cubertos	cubertos	1
padecido	padecido	1
contínua	continua	3
aplicaram	applicaraõ	1
inumeráveis	innumeraveis	1
medicamentos	medicamentos	1
malícia	malicia	2
refinada	refinada	2
desprezou	desprezou	2
diligências	diligencias	2
apertou	apertou	1
ungi-lo	ungillo	1
conflito	conflicto	1
fui	fui	1
chamado	chamado	1
entendendo	entendendo	1
útil	util	2
vencer	vencer	1
paroxismos	paroxismos	1
tercianários	tercianarios	1
atrevi	atrevi	1
ajuntar	ajuntar	2
dar-lhos	darlhos	1
golpe	golpe	1
degolassem	degollassem	1
enfermidades	enfermidades	6
sabia	sabia	1
haviam	haviaõ	1
haviam	aviaõ	1
faltar	faltar	2
condenassem	condemnassem	1
chamassem	chamassem	1
temerário	temerario	2
dava	dava	1
entrava	entrava	2
requisitos	requisitos	2
essencialmente	essencialmente	1
necessários	necessarios	1
felicidade	felicidade	1
ajuntava	ajuntava	1
acudisse	acudisse	1
fermentação	fermentaçaõ	1
febril	febril	2
resolvi	resolvi	2
maiormente	mayormente	3
sezão	sezaõ	10
sezão	cezaõ	4
extrema	extrema	1
reputei	reputei	1
suposição	supposiçaõ	1
pondo	pondo	2
maledicência	maledicencia	2
tomai	tomai	1
sutilissimamente	subtilissimamente	2
polvorizada	polvorizada	1
dez	dez	2
polvorizado	polvorizado	1
camadas	camadas	1
fonte	fonte	2
frasco	frasco	1
revolva	revolva	1
vascoleje	vascoleje	1
tome	tome	5
jejum	jejum	5
acabasse	acabasse	1
feliz	feliz	2
radicalmente	radicalmente	2
papel	papel	3
nomes	nomes	1
curei	curei	2
testemunha	testemunha	2
eminentíssimo	eminentissimo	2
senhor	senhor	3
cardeal	cardeal	2
souza	souza	1
ano	anno	1
1694	1694	1
atrevia	atrevia	1
costumavam	costumavaõ	1
menores	menores	1
cresceram	cresceraõ	1
exacerbaram	exacerbaraõ	1
excederam	excederaõ	1
temi	temi	1
formidável	formidavel	1
escapasse	escapasse	1
valer	valer	1
consideração	consideraçaõ	1
desiguais	desiguaes	1
reputar	reputar	1
tábua	taboa	1
dei	dei	2
salvar	salvar	1
desmedidamente	desmedidamente	1
juízo	juizo	1
conferi	conferi	1
bernardes	bernardes	1
moraes	moraes	1
companheiro	companheiro	1
assistia	assistia	1
comigo	comigo	1
parecendo-lhe	parecendolhe	1
demos	demos	1
maravilhoso	maravilhoso	1
veio	veyo	1
temíamos	temiamos	1
escassamente	escassamente	1
apareceram	apparecèraõ	1
sombras	sombras	1
príncipe	principe	1
poderá	poderá	2
convencer	convencer	1
incredulidade	incredulidade	1
desafeiçoados	desaffeiçoados	1
apontarei	apontarei	1
idênticos	identicos	1
sucederam	succederaõ	1
santa	santa	1
clara	clara	1
soror	soror	1
antonia	antonia	1
mauricia	mauricia	1
ungida	ungida	1
oficio	officio	1
agonia	agonia	1
rezado	rezado	1
ouvia	ouvia	1
falava	fallava	1
informando-me	informandome	1
conheci	conheci	2
terribilidade	terribilidade	1
desfeito	desfeito	1
xícara	chicara	1
escapou	escapou	1
glorioso	glorioso	1
dou	dou	1
dona	dona	1
isabel	isabel	1
guilherme	guilherme	1
mulher	mulher	1
purgativo	purgativo	6
iam	hiaõ	1
temendo	temendo	1
quatorzeno	quatorzeno	1
morresse	morresse	2
cruel	cruel	1
inglaterra	inglaterra	1
esperando	esperando	1
prevenção	prevençaõ	2
dados	dados	1
viesse	viesse	1
branda	branda	2
factível	factivel	1
sucedesse	succedesse	1
temia	temia	1
deus	deos	2
servido	servido	3
entrar	entrar	2
calafrios	calafrios	1
calafrios	escalafrios	1
livrasse	livrasse	1
beneficio	beneficio	1
novembro	nov	1
1705	1705	1
observações	observações	2
observações	obserações	1
maravilhosamente	maravilhosamente	1
aprendam	aprendaõ	4
utilidades	utilidades	1
virem	virem	1
sumo	summo	1
sumo	çumo	1
misturar	misturar	5
purgativos	purgativos	3
dando-o	dando-o	1
descarregando	descarregando	1
talvez	talvez	2
ateia	atea	1
infinitas	infinitas	1
faria	faria	2
escrúpulo	escrupulo	2
privasse	privasse	1
mundo	mundo	1
notícia	noticia	1
proveitosa	proveitosa	2
decorosa	decorosa	1
créditos	creditos	1
estilo	estylo	1
excitou	excitou	1
furor	furor	1
falas	falas	1
sagradas	sagradas	1
retumbam	retumbaõ	1
ecos	eccos	1
injuriosos	injuriosos	1
crédito	credito	1
deixo	deixo	3
doutos	doutos	1
afeiçoados	affeiçoados	1
secreto	secreto	1
atrevem	atrevem	1
praticá-la	praticalla	1
fazerem	fazerem	1
objetos	objectos	1
tantos	tantos	2
tiros	tiros	1
quantos	quantos	2
assestam	assestaõ	1
concedem-me	concedem-me	1
encolhem	encolhem	1
ombros	hombros	1
parecer	parecer	3
alcança	alcança	1
açoite	açoute	1
experimentarem	experimentarem	1
arrependam	arrependaõ	1
acabe	acabe	1
gratificação	gratificaçaõ	1
louvor	louvor	1
opróbrio	opprobrio	1
descrédito	descredito	1
precisamente	precisamente	1
tivesse	tivesse	2
extremidades	extremidades	1
nomear	nomear	1
causar	causar	1
enfado	enfado	1
novatos	novatos	1
misturo	misturo	1
necessitem	necessitem	1
purgar-se	purgarse	1
apartados	apartados	1
celso	celso	1
desesperados	desesperados	1
achardes	achardes	1
risco	risco	1
acudirem	acudirem	1
desusado	desusado	1
obrigação	obrigaçaõ	3
medico	medico	2
nenhumas	nenh	1
esperanças	esperanças	1
inculca	inculca	1
prognóstico	prognostico	1
acudir-lhe	acudirlhe	1
duvidosa	duvidosa	1
covardia	covardia	1
xc	xc	1
ardentíssima	ardentissima	1
ardentíssima	artentissima	1
obstinada	obstinada	1
rebeldia	rebeldia	1
forno	forno	4
pasteleiro	pasteleiro	2
fresca	fresca	5
melhorou	melhorou	1
encomendam	encomendaõ	1
estejam	esstejaõ	1
estejam	estejaõ	3
casas	casas	6
frescas	frescas	3
artificio	artificio	1
janelas	janelas	1
janelas	janellas	3
abafadiças	abafadiças	2
necessariamente	necessariamente	1
incapaz	incapaz	1
temperar	temperar	3
incêndio	incendio	1
gerarem	gerarem	1
espíritos	espiritos	1
faltando	faltando	1
febricitantes	febricitantes	4
infalivelmente	infallivelmente	1
perigarão	perigaraõ	1
tirarão	tiraraõ	1
tirem	tirem	1
cuide	cuide	1
encarecimento	encarecimento	1
referirei	referirei	1
confirmei	confirmei	1
funda	funda	1
julho	julho	2
1668	1668	1
alvaro	alvaro	1
remolares	remolares	1
sacerdote	sacerdote	1
pertinaz	pertinaz	1
zombado	zombado	1
eficazes	efficazes	2
inventou	inventou	1
engenho	engenho	1
obstinação	obstinaçaõ	1
diligência	diligencia	2
obedecia	obedecia	1
comecei	comecei	1
discursar	discursar	1
porfiada	porfiada	1
resistência	resistencia	2
vim	vim	1
entender	entender	2
aposento	aposento	3
janela	janella	2
entrasse	entrasse	1
saísse	sahisse	1
refrigério	refrigerio	1
soubesse	soubesse	1
facilmente	facilmente	2
concorriam	concorriaõ	1
perseverasse	perseverasse	1
respirava	respirava	2
atracado	atracado	1
caloroso	caloroso	1
deitado	deitado	3
inimigos	inimigos	1
antevisto	antevisto	1
escolher	escolher	1
perfeito	perfeito	1
fazendo-se	fazendose	1
fazendo-se	fazendo-se	1
jerônimo	jeronymo	1
dignou	dignou	1
dar-me	darme	1
luz	luz	1
ajudado	ajudado	1
pequenhez	pequenhez	1
ardência	ardencia	1
calmas	calmas	1
assentando	assentando	1
mudassem	mudassem	1
fresco	fresco	3
acertada	acertada	1
conseguiu	conseguio	1
desejava	desejava	1
ajudas	ajudas	4
ameijoada	ameijoada	1
frangão	frangaõ	1
cevada	cevada	2
alface	alface	2
farelos	farelos	2
lavados	lavados	1
ovos	ovos	2
batidas	batidas	1
romper	romper	1
uns	huns	3
farinha	farinha	1
aveia	avea	1
feitos	feitos	1
pouquíssimo	pouquissimo	1
perguntaram	perguntaraõ	1
curiosos	curiosos	1
nevada	nevada	2
incansável	incansavel	1
pregoeiro	pregoeiro	1
caniculares	caniculares	1
cujas	cujas	1
manda	manda	4
fria	fria	16
hipócrates	hippocrates	1
hipócrates	hipocrates	1
estimação	estimaçaõ	1
serenadas	serenadas	1
câmaras	camaras	1
untar	untar	4
abóbora	abobora	1
agraço	agraço	1
aplicando-os	applicando-os	1
guardei	guardei	1
camas	camas	1
golfão	golfaõ	1
sabugueiro	sabugueiro	1
vali	vali	2
colchão	colchaõ	1
odres	odres	1
cisterna	cisterna	2
filha	filha	1
barros	barros	1
ourives	ourives	1
prata	prata	2
netinha	netinha	1
pedralves	pedralves	1
cabral	cabral	1
lacerda	lacerda	1
filho	filho	2
pedro	pedro	1
araujo	araujo	1
ardendo	ardendo	1
incêndios	incendios	1
apagar	apagar	1
colchões	colchões	1
felizmente	felizmente	1
respondo	respondo	1
costumo	costumo	1
usar	usar	2
cúmplices	cumplices	1
renitência	renitencia	1
importariam	importariaõ	1
mudasse	mudasse	1
sombreireiro	sombreireiro	1
tronco	tronco	1
teimosa	teimosa	1
obedeceu	obedeceo	1
soube	soube	1
ficava	ficava	1
fornalha	fornalha	1
fabricavam	fabricavaõ	1
chapéus	chapeos	1
mudá-lo	mudallo	1
importa	importa	2
lavadas	lavadas	2
ares	ares	1
contarei	contarei	1
luis	luis	1
gonçalves	gonçalves	1
camara	camara	1
almotacel	almotacel	1
mor	mòr	1
reino	reyno	1
sucedeu	succedeo	3
criado	criado	1
levantou	levantou	2
alta	alta	3
abrindo	abrindo	1
portas	portas	2
sentido	sentido	2
saiu	sahio	2
guiado	guiado	1
consigo	comsigo	1
cano	cano	3
real	real	2
entrando	entrando	2
desmaiado	desmayado	1
abóbada	abobada	1
temperou	temperou	1
resfriou	resfriou	1
amanhecer	amanhecer	1
causando	causando	1
viram	viraõ	1
levara	levara	1
modernos	modernos	1
pais	seus	1
família	familia	1
importantes	importantes	2
ardentíssimas	ardentissimas	1
tirará	tirará	1
deixem	deixem	1
frenéticos	freneticos	3
frenéticos	frenéticos	1
sós	sós	3
companhia	companhia	3
esperta	esperta	1
cuidadosa	cuidadosa	1
deixarem	deixarem	1
arriscam	arriscaõ	1
deitem	deitem	1
abaixo	abaixo	1
mulheres	mulheres	1
moradoras	moradoras	1
tanoeria	tanoeria	1
morreram	morrèraõ	1
precipitadas	precipitadas	1
frenéticas	freneticas	1
deixaram	deixaraõ	1
espadas	espadas	1
facas	facas	1
armas	armas	1
frenético	frenetico	1
fúria	furia	1
pegar	pegar	1
fechar-lhe	fecharlhe	1
porta	porta	1
quarta	quarta	2
assegurem	assegurem	1
ataduras	ataduras	1
contínuos	continuos	1
soltar	soltar	1
amanhecerem	amanhecerem	1
esgotados	esgotados	1
pampulha	pampulha	1
encomendo	encomendo	2
febricitante	febricitante	2
artifício	artificio	1
respirar	respirar	1
cobrir	cobrir	1
descoberto	descuberto	1
fecharão	fecharaõ	1
poros	póros	2
poros	poros	3
consequentemente	consequentemente	1
proibirá	prohibirá	1
grandíssimo	grandissimo	1
impedimento	impedimento	1
recuperar	recuperar	1
portanto	tanto	1
coberto	cuberto	5
continue	continue	1
xvii	xvii	1
unturas	unturas	11
quaisquer	quaesquer	1
hão	hao	1
hão	haõ	4
166	166	1
empiemático	empiematico	1
tísico	tisico	1
asmático	asmatico	1
bexiga	bexiga	1
suavemente	suavemente	1
gadelha	gadelha	3
dedos	dedos	6
167	167	1
brandamente	brandamente	2
incorporar	encorporar	1
untura	untura	13
sumida	sumida	1
168	168	1
hidrópicos	hydropicos	3
carregando-a	carregando-a	1
incorpore	encorpore	3
conheceres	conheceres	1
observareis	observareis	3
aumentará	augmentará	1
queixa	queixa	9
inflamada	inflammada	1
169	169	1
regra	regra	2
havendo	havendo	1
fareis	fareis	5
ligeiramente	ligeiramente	1
evita	evita	1
azougue	azougue	6
declara	declara	1
170	170	1
opilado	opilado	1
evitai	evitay	1
incorporá-la	encorporalla	1
continuado	continuado	1
xxii	xxii	1
178	178	1
cozimentos	cozimentos	2
gerais	geraes	1
perfeição	perfeição	1
apliquem	appliquem	1
premeditar	permeditar	1
gênero	genero	1
oferecer	offerecer	1
179	179	1
ervas	ervas	1
procurareis	procurareis	1
instrumento	instromento	1
instrumento	instrumento	1
cubra	cubra	1
mandar	mandar	6
queime	queime	1
moderada	moderada	2
180	180	1
manha	manha	1
estará	estará	5
jantar	jantar	2
dareis	dareis	7
serviria	serviria	1
podereis	podereis	1
181	181	1
perguntareis	perguntareis	2
esfriar	esfriar	1
ir	hir	1
lançando	lançando	2
completar	completar	1
sentado	sentado	1
haveis	haveis	1
desamparar	desamparar	1
desmaio	desmayo	5
junto	junto	3
incidente	incidente	2
acabado	acabado	4
enxuto	enxuto	1
fechadas	fechadas	3
182	182	1
façais	façais	1
joelhos	joelhos	1
semicúpio	semicupio	1
mandareis	mandareis	4
sentar	sentar	2
bacia	bacia	3
ireis	hireis	1
jarro	jarro	1
bico	bico	1
escalde	escalde	1
enxugareis	enxugareis	1
semicúpios	semicupios	1
xxix	xxix	1
cólica	colica	3
acudir	acudir	2
ausência	ausencia	1
209	209	1
dando	dando	4
comeu	comeo	1
inclinado	inclinado	4
lançareis	lançareis	3
comuas	commuas	1
referida	referida	3
hum	hum	1
serão	seraõ	2
210	210	1
primeiramente	primeiramente	1
tíbia	tibia	2
211	211	1
erva	erva	1
doce	doce	1
provocativa	provocativa	2
212	212	1
excremento	escremento	1
ratos	ratos	1
bebido	bebido	2
singular	singular	3
provocativo	provocativo	1
213	213	1
calumba	calumba	1
abuta	abuta	1
caiba	caiba	1
vinténs	vintens	1
214	214	1
fel	fel	1
galo	gallo	1
215	215	1
ventosa	ventosa	2
umbigo	embigo	2
repeti-la	repetilla	1
pegada	pegada	1
216	216	1
taleigo	taleigo	1
milho	milho	1
217	217	1
sexto	sexto	1
218	218	1
proceder	proceder	1
tiram	tiraõ	1
sente	sente	1
alívio	alivio	1
aproveitando	aproveitando	1
virá	virá	1
receitar	receitar	1
xxx	xxx	1
importante	importante	1
219	219	1
acontece	acontece	1
g.	g.	2
ajuda	ajuda	8
defensivo	defensivo	4
resulte	resulte	1
enfermeiro	enfermeiro	30
220	220	1
principiar	principiar	1
passada	passada	5
levantar	levantar	1
dará	dará	10
aplicará	applicará	2
221	221	1
acaso	acaso	1
motivo	motivo	1
urgente	urgente	1
esquinência	esquinencia	1
necessite	necessite	1
lançará	lançará	4
obrado	obrado	2
xxxii	xxxii	1
224	224	1
enfermos	enfermos	28
castas	castas	1
cordiais	cordiaes	1
refrigerante	refrigerante	1
ventosas	ventosas	1
225	225	1
ocasiões	occasiões	2
deres	deres	1
inverno	inverno	7
obrou	obrou	1
informares	informares	1
repetição	repetiçaõ	1
xxxiii	xxxiii	1
pedra	pedra	5
bazar	bazar	4
226	226	1
enchereis	enchereis	1
metal	metal	2
possível	possivel	1
chegue	chegue	2
gota	gota	1
xxxiv	xxxiv	1
227	227	1
purga	purga	17
perguntando-lhe	perguntando-lhe	1
determine	determine	3
nisto	nisto	1
resulta	resulta	3
228	228	1
obstante	obstante	2
saiba	saiba	2
dobres	dobres	1
der	der	1
resultar	resultar	1
gravíssimo	gravissimo	3
comido	comido	1
perguntar	perguntar	1
antecedente	antecedente	3
livrar	livrar	1
229	229	1
passou	passou	1
mudarem-se	mudarem-se	1
diversos	diversos	1
dar-lha	dar-lha	2
dirá	dirá	2
230	230	1
arrimadas	arrimadas	1
almofada	almofada	1
vidro	vidro	1
púcaro	pucaro	1
provoca	provoca	1
vômito	naõ	2
vômito	marmello	1
vômito	limaõ	1
231	231	1
enxaguará	enxagoará	1
doçura	doçura	1
tédio	tedio	1
232	232	1
sobrevier	sobrevier	2
ansiedade	anciedade	1
lha	lha	3
podeis	podeis	1
metendo-lhe	mettendo-lhe	2
borrifando-lhe	borrifando-lhe	1
cara	cara	3
bocado	bocado	1
marmelo	marmello	2
cheirando	cheirando	1
bastando	bastando	1
esfregações	esfregações	1
brandas	brandas	1
cócegas	cossegas	1
puxar-lhe	puchar-lhe	1
deitar-lhe	deitar-lhe	1
gema	gema	2
ovo	ovo	2
posta	posta	1
concavidade	concavidade	1
garganta	garganta	1
pondo-se	pondo-se	3
esfrie	esfrie	1
mastigar	mastigar	3
azeitonas	azeitonas	1
apetecer	apetecer	1
233	233	1
equivalentes	equivalentes	1
lance	lance	1
pronta	prompta	2
guardará	guardará	2
venha	venha	1
234	234	1
aquentar	aquentar	1
taxo	taxo	1
lume	lume	3
mexendo	mechendo	1
aquenta	aquenta	1
xl	xl	1
247	247	1
248	248	1
poreis	poreis	2
raiz	raiz	2
alcaçus	alcaçus	1
machucada	machocada	1
ponta	ponta	2
chupando	chupando	1
braseiro	brazeiro	1
recomendando	recomendando	1
xli	xli	1
advertências	advertencias	1
249	249	1
recomendareis	recomendareis	1
àqueles	àquelles	1
esquentam	esquentaõ	1
grave	grave	1
250	250	1
delirantes	delirantes	2
cabeceira	cabeceira	1
propendendo	propendendo	1
aumenta	augmenta	1
baixa	baixa	1
disposta	disposta	1
achaque	achaque	3
251	251	1
suja	çuja	3
vestir-lhe	vestirlhe	1
limpa	limpa	3
enxovalhada	enxovalhada	2
defumada	defumada	2
vestisse	vestisse	2
pegaria	pegaria	1
torne	torne	1
252	252	1
mudareis	mudareis	1
lençóis	lançoes	5
repentinamente	repentinamente	1
enxovalhe	enxovalhe	1
253	253	1
mudarem	mudarem	2
estarão	estaráõ	1
levante	levante	2
despir	despir	1
vestir	vestir	1
reservada	reservada	1
extenso	extenso	1
raspar	raspar	2
humedecer	humedecer	1
254	254	1
gravíssima	gravissima	1
importância	importancia	1
enfermeiros	enfermeiros	1
línguas	linguas	1
secar	secar	1
encher	encher	1
viscosidades	viscosidades	1
originam	originaõ	2
comida	comida	3
debilitam	debilitaõ	1
necessita	necessita	1
refrescando-lhes	refrescando-lhes	1
raspando-lhes	raspando-lhes	1
255	255	1
enxaguar	enxagoar	1
tendo-lhe	tendo-lhe	1
enxaguada	enxagoada	1
raspareis	raspareis	1
256	256	1
conservares	conservares	1
zaragatoa	zaragatoa	3
embrulhareis	embrulhareis	1
sementes	sementes	2
fino	fino	1
redondo	redondo	1
avelã	avelã	1
atando	atando	1
pãozinho	paozinho	1
ministério	ministerio	1
advirto	advirto	1
molhar	molhar	1
pingas	pingas	1
xliii	xliii	1
257	257	1
pedirem	pedirem	2
necessitarem	necessitarem	1
própria	propria	2
prejudicial	prejudicial	1
tirar-lhes	tirar-lhes	1
tirar-lhes	tirarlhes	1
antever	antever	2
precisa	precisa	1
258	258	1
desce	desce	1
ficão	ficaõ	1
doutrina	doutrina	1
avicena	avicena	1
259	259	1
260	260	1
trigueiros	trigueiros	1
coléricos	colericos	2
secos	secos	1
largamente	largamente	2
gordos	gordos	1
claros	claros	1
pratica	pratica	1
visitado	visitado	1
praticado	praticado	1
261	261	1
meses	mezes	3
setembro	setembro	1
pedir	pedir	2
morna	morna	1
xliv	xliv	1
262	262	1
feridos	feridos	1
erisipela	erisipela	1
cabruncos	cabruncos	1
premedite	premedite	1
idade	idade	2
temperança	temperança	1
263	263	1
264	264	1
sarampo	serampo	1
neve	neve	1
cause	cause	1
perigosos	perigosos	1
265	265	1
camarentos	camarentos	1
ferrada	ferrada	2
aço	aço	1
ouro	ouro	1
advertindo	advertindo	2
ferrar	ferrar	1
causaria	causaria	1
tempos	tempos	1
fizer	fizer	2
queixar	queixar	1
arde	arde	1
intestino	intestino	1
tomarem	tomarem	1
266	266	1
pau	páo	1
tamargueira	tamargueira	1
ração	reçaõ	1
apeteça	apeteça	1
abstiver	abstiver	1
sarar	sarar	2
hidropisia	hydropezia	1
hidrópico	hydropico	1
agriões	agriões	2
perrexil	perrexil	1
bebendo	bebendo	1
servindo-lhes	servindo-lhes	1
cozidos	cozidos	1
xlvi	xlvi	1
regimento	regimento	4
272	272	1
agudas	agudas	1
deixando	deixando	2
273	273	1
livres	livres	1
declinado	declinado	1
declarada	declarada	1
274	274	1
sangrador	sangrador	3
caem	cahem	1
sangradores	sangradores	1
rompa	rompa	1
veia	veya	2
rasgada	rasgada	1
275	275	1
desmaiar-se	desmayar-se	1
aquentando	aquentando	1
borrife	borrife	1
podendo	podendo	2
tape	tape	1
276	276	1
causam	causaõ	1
resfria	resfria	1
âmbito	ambito	1
finalizam	fínalizaõ	1
277	277	1
advirta	advirta	1
hospital	hospital	2
ordenado	ordenado	1
mande	mande	1
novamente	novamente	1
reserve	reserve	1
determinações	determinações	1
xlvii	xlvii	1
embarramentos	embarramentos	1
diaforéticos	diaforeticos	2
278	278	1
ajudar	ajudar	1
suar	suar	2
279	279	1
urina	ourina	1
repare	repare	1
capitula	capitula	1
ouvindo	ouvindo	1
vier	vier	2
ocupe	occupe	1
mova	mova	2
descubra	descubra	1
abrigá-lo	abrigallo	1
roupa	roupa	5
280	280	1
limpará	limpará	1
toalha	toalha	1
receba	receba	2
vestirá	vestirá	2
alecrim	alecrim	2
vestida	vestida	1
boi	boy	1
tamanho	tamanho	1
281	281	1
bons	bons	1
aprovados	approvados	1
demasiados	demasiados	1
enfraquecendo	enfraquecendo	2
282	282	1
pegajoso	pegajoso	1
põem	põem	1
untados	untados	1
principia	principia	1
283	283	1
duplique	duplique	1
fazendo-o	fazendo-o	1
voltar	voltar	1
aliviá-lo	aliviallo	1
atará	atará	1
grosso	grosso	1
bandeira	bandeira	1
molhado	molhado	2
abanando	abanando	1
chapéu	chapeo	1
velho	velho	1
284	284	1
copiosos	copiosos	1
querem	querem	1
suficientes	sussicientes	1
impedi-los	impedillos	1
embarrar	embarrar	2
executar	executar	1
embarramento	embarramento	1
emplasto	emplasto	1
receitado	receitado	1
untareis	untareis	1
espinhaço	espinhaço	2
situado	situado	1
costelas	costellas	1
mendosas	mendozas	1
essenciais	essenciaes	1
referidas	referidas	2
vento	vento	1
285	285	1
mandará	mandará	3
botica	botica	1
terra	terra	1
sigilada	figillada	1
armênio	armenio	1
margaritas	margaritas	1
preparadas	preparadas	1
cousa	cousa	1
xarope	xarope	1
secas	secas	1
marmelos	marmellos	1
cerejas	cerejas	1
xlviii	xlviii	1
286	286	1
observando	observando	2
principiou	principiou	1
examine	examine	1
deem	dem	1
premeditou	premeditou	1
experimente	experimente	1
debilidade	debilidade	1
287	287	1
tem-se	tem-se	1
desgraças	disgraças	1
curativo	curativo	1
naquela	naquella	1
determinou	determinou	1
precisado	precisado	1
dilatam	dilataõ	1
288	288	1
reconcentre	reconcentre	1
constipem	constipem	1
descobrem	descobrem	1
lipírias	lipirias	1
lviii	lviii	1
galicados	gallicados	1
318	318	1
use	use	1
cirurgião	cirurgiaõ	6
determinará	determinará	1
carecem	carecem	1
demais	demais	1
toca	toca	1
determinação	determinação	1
determinação	determinaçaõ	1
ensine	ensine	1
319	319	1
recolhida	recolhida	1
meterá	metterá	1
fogareiro	fugareiro	1
brasas	brazas	1
lenha	lenha	1
carvão	carvaõ	1
acesas	acezas	1
quebradas	quebradas	1
fortidão	fortidaõ	1
canelos	canellos	1
ferradura	ferradura	1
320	320	1
dividir	dividir	1
doze	doze	2
reservando	reservando	1
artelho	artelho	1
espalhando	espalhando	1
perto	perto	1
aquecendo	aquecendo	1
esfregará	esfregará	1
aqueça	aqueça	1
consuma	consuma	1
meta	metta	1
enxuta	enxuta	1
cobrirá	cubrirá	1
lençol	lançol	2
passará	passará	5
joelho	joelho	1
fugindo	fugindo	1
inimigo	inimigo	1
untado	untado	2
quadril	quadril	1
321	321	1
principiará	principiará	2
ombro	hombro	2
dada	dada	1
cotovelo	cotovello	1
principiando	principiando	1
acabando	acabando	1
limpar	limpar	1
correr	correr	1
vértebras	vertebras	1
ofender	offender	1
substância	substancia	1
medular	medular	1
assiste	assiste	1
322	322	1
acabada	acabada	1
estendidos	estendidos	1
embrulhará	embrulhará	1
lançando-lhe	lançando-lhe	1
cobrindo-lhe	cobrindo-lhe	1
abrigará	abrigará	1
cobertores	cobertores	1
precisos	precisos	1
moderadamente	moderadamente	1
aflija	afflija	1
irritação	irritaçaõ	1
imediato	immediato	1
transpira	transpira	1
detendo	detendo	1
atuar	actuar	1
circular	circular	1
acidental	accidental	1
conseguem	conseguem	1
melhoras	melhoras	1
existir	existir	1
opinião	opiniaõ	1
praticada	praticada	1
mór	mór	1
nosso	nosso	1
elvas	elvas	1
francisco	francisco	1
xavier	xavier	1
notória	notoria	1
323	323	1
limitado	limitado	1
afligir	affligir	1
sinta	sinta	1
retirar	retirar	1
conservará	conservará	1
arroupado	arroupado	1
mister	mister	1
324	324	1
fica	fica	1
rebentar	rebentar	1
inchar	inchar	1
babar	babar	1
morno	morno	1
passas	passas	2
ameixas	ameixas	1
papas	papas	1
gemas	gemas	1
325	325	1
causarem	causarem	1
lançarão	lançaráõ	1
lavativas	lavativas	1
frango	frango	1
mordacidade	mordacidade	1
movem	movem	1
copioso	copioso	1
deitarão	deitaráõ	1
enxutos	enxutos	1
enxovalhados	enxovalhados	1
defumados	defumados	1
prejuízo	prejuizo	1
326	326	1
termo	termo	1
cipreste	cypreste	1
cana	cana	1
verde	verde	1
boneca	boneca	1
cinza	cinza	1
vides	vides	1
recolhimento	recolhimento	1
lavarão	lavaráõ	1
inferiores	inferiores	1
lavada	lavada	1
entrará	entrará	1
carneiro	carneiro	1
ave	ave	1
pena	penna	1
amêndoas	amendoas	1
327	327	1
beberá	beberá	1
salsa	salsa	4
parrilha	parrilha	1
nova	nova	1
canadas	canadas	1
fendida	fendida	1
atada	atada	1
cozerá	cozerá	1
minguar	minguar	1
apartando-se	apartando-se	1
guardando	guardando	1
meias	meyas	1
cozidas	cozidas	1
per	per	1
irão	hiráõ	1
durar	durar	1
advirta-se	advirta-se	1
lave	lave	1
barba	barba	1
retire	retire	1
madrugada	madrugada	1
nocivo	nocivo	1
